# CFL3D results for NASA wall-mounted hump, 817 x 217 grid, no plenum, SST model
# Cp has been shifted by -0.015 to better match experimental reference upstream
#VARIABLES = "x","cp"
#zone, t="CFL3D"
x,cp
 8.195437193E-01, -4.139662385E-01
 8.206627965E-01, -4.140735269E-01
 8.217829466E-01, -4.141688943E-01
 8.229040504E-01, -4.142523408E-01
 8.240262270E-01, -4.143477082E-01
 8.251494169E-01, -4.144311547E-01
 8.262735605E-01, -4.145146012E-01
 8.273986578E-01, -4.146218896E-01
 8.285248280E-01, -4.147172570E-01
 8.296518326E-01, -4.148126245E-01
 8.307797909E-01, -4.148841500E-01
 8.319085240E-01, -4.149318337E-01
 8.330380917E-01, -4.150152802E-01
 8.341686130E-01, -4.151225686E-01
 8.352999687E-01, -4.151940942E-01
 8.364321589E-01, -4.152894616E-01
 8.375651240E-01, -4.153371453E-01
 8.386987448E-01, -4.153729081E-01
 8.398330808E-01, -4.154444337E-01
 8.409682512E-01, -4.155278802E-01
 8.421040773E-01, -4.155755639E-01
 8.432406187E-01, -4.156232476E-01
 8.443777561E-01, -4.156470895E-01
 8.455155492E-01, -4.156590104E-01
 8.466539979E-01, -4.157066941E-01
 8.477931023E-01, -4.157424569E-01
 8.489328027E-01, -4.157662988E-01
 8.500731587E-01, -4.157901406E-01
 8.512141109E-01, -4.157662988E-01
 8.523555994E-01, -4.157782197E-01
 8.534977436E-01, -4.157901406E-01
 8.546404839E-01, -4.157901406E-01
 8.557838202E-01, -4.157901406E-01
 8.569277525E-01, -4.157901406E-01
 8.580722213E-01, -4.157543778E-01
 8.592172265E-01, -4.157424569E-01
 8.603628278E-01, -4.157305360E-01
 8.615089655E-01, -4.156828523E-01
 8.626556993E-01, -4.156709313E-01
 8.638029099E-01, -4.156470895E-01
 8.649507165E-01, -4.155994058E-01
 8.660990000E-01, -4.155636430E-01
 8.672478199E-01, -4.155159593E-01
 8.683971763E-01, -4.154325128E-01
 8.695469499E-01, -4.153967500E-01
 8.706973195E-01, -4.153490663E-01
 8.718481660E-01, -4.152656198E-01
 8.729994893E-01, -4.152060151E-01
 8.741512895E-01, -4.151225686E-01
 8.753035665E-01, -4.150152802E-01
 8.764562607E-01, -4.149318337E-01
 8.776094317E-01, -4.148364663E-01
 8.787630796E-01, -4.147053361E-01
 8.799171448E-01, -4.145980477E-01
 8.810716867E-01, -4.144788384E-01
 8.822267056E-01, -4.143357873E-01
 8.833821416E-01, -4.142046571E-01
 8.845380545E-01, -4.140616059E-01
 8.856943846E-01, -4.138947129E-01
 8.868511319E-01, -4.137278199E-01
 8.880083561E-01, -4.135609269E-01
 8.891659975E-01, -4.133821130E-01
 8.903241158E-01, -4.131913781E-01
 8.914826512E-01, -4.130006433E-01
 8.926417232E-01, -4.128218293E-01
 8.938012123E-01, -4.126072526E-01
 8.949611187E-01, -4.124045968E-01
 8.961215615E-01, -4.121900201E-01
 8.972824216E-01, -4.119754434E-01
 8.984437585E-01, -4.117489457E-01
 8.996055722E-01, -4.115224481E-01
 9.007678628E-01, -4.112840295E-01
 9.019306302E-01, -4.110575318E-01
 9.030938148E-01, -4.108071923E-01
 9.042574763E-01, -4.105330110E-01
 9.054215550E-01, -4.102707505E-01
 9.065861702E-01, -4.099846482E-01
 9.077511430E-01, -4.096747041E-01
 9.089166522E-01, -4.093886018E-01
 9.100825787E-01, -4.091024995E-01
 9.112490416E-01, -4.087567925E-01
 9.124159217E-01, -4.084587693E-01
 9.135833383E-01, -4.081607461E-01
 9.147512317E-01, -4.077911973E-01
 9.159196019E-01, -4.074693322E-01
 9.170885086E-01, -4.071474671E-01
 9.182578921E-01, -4.067779183E-01
 9.194278121E-01, -4.064560533E-01
 9.205982685E-01, -4.061341882E-01
 9.217692018E-01, -4.057646394E-01
 9.229406714E-01, -4.054427743E-01
 9.241126776E-01, -4.050970674E-01
 9.252851605E-01, -4.047036767E-01
 9.264581203E-01, -4.043698907E-01
 9.276316762E-01, -4.040003419E-01
 9.288057089E-01, -4.036307931E-01
 9.299802780E-01, -4.033089280E-01
 9.311553836E-01, -4.029513001E-01
 9.323310256E-01, -4.025698304E-01
 9.335071445E-01, -4.022360444E-01
 9.346837401E-01, -4.018664956E-01
 9.358608723E-01, -4.014731050E-01
 9.370385408E-01, -4.011393189E-01
 9.382166862E-01, -4.007697701E-01
 9.393953085E-01, -4.004359841E-01
 9.405744672E-01, -4.001141191E-01
 9.417541027E-01, -3.997564912E-01
